"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
102001,"United States",0,99600,100000,100000,99900,99800,99900,100000,100400,100800,101500,102100,102500,102800,103200,103500,103900,104300,104700,105300,105800,106100,106500,107200,107700,107800,107700,108100,109000,109700,110100,110500,110800,111300,111900,112500,113100,113600,114300,114900,115500,116100,116800,117200,117800,118400,119000,119800,120700,121400,122000,122800,123500,123900,124500,125300,126000,126700,127400,128100,128700,129600,130400,130900,131100,131600,132200,132700,133400,134200,134800,135100,135200,135600,136200,136900,137700,138600,139600,140500,141300,141900,142500,143300,144200,145300,146400,147300,148400,149400,150200,151100,152100,153200,154400,155800,157200,158500,159700,161100,162500,164000,165300,166500,167900,169500,171100,172600,174200,175600,177200,179100,181000,182400,183900,185500,187100,188200,189300,190200,191400,192400,193100,193600,194000,194400,195000,195500,195500,195500,195700,196100,196300,196600,196500,196100,195300,195000,194500,193600,192800,191700,190500,189100,187500,186000,184700,183300,182200,181300,180200,179300,178600,177900,177200,176500,175500,174400,173200,172000,171000,170100,169200,168400,167700,166800,165700,164600,163900,163300,162800,162300,161700,160700,159700,158800,157900,157300,156900,156300,155600,155000,154300,153600,153000,152500,152100,151700,151400,151100,151100,151400,151600,151700,151900,152300,152700,153100,153500,154000,154500,155100,155800,156500,157200,158200,159100,160100,161000,162000,162800,163500,164200,164800,165600,166300,166900,167400,168000,168600,169200,169800,170300,170800,171300,171900,172400,172900,173800,174900,175800,176700,177500,178300,179100,179800,180500,181300,182000,182800,183800,184600,185400,186700,187900,188900,189900,191000,192400,193700,194600,195500,196800,198200,199500,200400,201200,202300,203600,204800,205900,206800,207600
394913,"New York, NY",1,165700,167000,167200,166700,166300,166100,165400,164200,163300,163700,165300,166800,167300,167600,168000,168300,168800,169500,170200,170900,171500,172400,174000,175200,175700,175900,176100,176400,176900,177600,178500,179500,180200,181300,183100,184800,186100,187800,189600,191400,193300,195100,197200,199700,202500,205500,208300,210600,212300,214200,216400,218700,221000,223500,225900,228200,230500,232900,235600,238300,240500,242500,244400,246600,249500,252600,255700,258700,261800,262700,261000,260400,263500,267400,270800,274200,278100,281700,285100,288800,292100,295400,299700,304200,307200,310800,316700,322200,325300,327800,330500,333300,338700,345800,351400,354600,358400,361900,364900,368300,372500,376700,381000,384500,386700,389300,394100,399700,404500,408400,411800,415400,419000,422400,426100,429700,432400,434500,436800,439200,441200,442700,443600,444200,444900,445300,444900,444400,443500,442700,442200,442200,442000,441700,440400,438400,436400,434600,432800,431200,429600,427800,425100,421900,418500,415400,412200,409000,405800,402800,400000,397300,394400,391600,389100,386700,384100,381000,377800,374900,372900,371600,370800,370000,369400,368800,368000,367000,365700,364500,363800,362600,361000,359300,357900,356700,355700,354700,353700,352600,351300,349900,348900,348200,347000,345400,343900,342400,340800,339400,338300,337700,337500,337200,337200,337700,338400,339000,339500,340200,340800,341300,341900,342700,343900,345500,347300,349000,351100,352900,354100,355400,356800,358100,359200,359900,360900,362200,363100,363700,364300,364600,364600,364600,365400,366700,368000,369000,370100,371100,372200,373200,374300,375600,377400,379000,380200,380900,381800,383000,384800,386100,387100,389300,392500,395400,397800,400100,402000,404000,407100,410900,414100,417300,420400,422700,424300,426400,428200,429100,429900,431100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,170600,170400,170100,169900,169900,169900,170000,170200,170800,171800,172900,173500,173800,174000,174200,174600,175200,176100,176900,177900,179300,181000,182600,184100,185600,187100,188500,189700,191200,193300,195500,197300,198900,200200,201900,203800,205300,206700,208400,210000,211200,212400,214000,216000,218000,220300,223000,225500,227700,229900,231800,233700,235800,237600,239300,241200,243500,246000,248500,251200,253600,255800,257800,259700,261800,264100,266600,269100,271900,275200,278600,281600,285200,289600,294400,299400,304600,309700,314900,320500,326000,331200,336100,341000,345800,350200,354300,359000,364700,371100,378000,385400,393500,401400,409600,418900,429600,441300,453900,465400,474800,482600,489400,494900,500000,504900,510700,517700,525400,533200,541300,550100,559200,567600,574900,581600,587000,591400,594700,597600,599600,601600,603700,604800,604400,603200,602100,600700,598400,596800,596200,595200,593800,591900,588200,583300,577800,572200,566900,560700,552300,543300,534600,524700,513200,502200,492100,483000,475400,469200,463400,458400,452900,447400,442400,437600,432000,425600,420600,418600,417900,417300,417200,416500,419200,424100,426400,425300,425700,425800,424500,421700,419500,417400,415500,414500,414400,413300,411200,409100,406800,404400,401800,399000,396000,392900,390300,388400,386200,384500,384200,385200,387200,390400,394000,397700,401100,404400,407800,411600,415700,419600,424600,432100,440200,448500,457300,465300,472000,478300,483000,486200,488700,491100,494300,498300,501400,504200,506800,509900,512800,515100,516800,518400,520100,522500,525800,529200,532400,535200,538200,541500,544700,547100,549800,552900,555300,557700,561000,564700,568400,571800,574000,575300,577200,580200,584200,588600,592500,595800,598700,601700,604900,608500,611500,613800,616300,620100,624200,628800,633300,636500
394463,"Chicago, IL",3,,,,,,,,,,138400,138700,138900,139000,139100,139100,139100,139300,139500,139800,140400,141000,141500,141900,142300,142600,142800,142900,143300,143500,143800,144300,144900,145600,146400,147000,147500,148100,148900,149800,150500,151200,152000,153100,154200,155100,156200,157400,158400,159600,160700,161600,162300,163300,164400,165500,166600,168000,169400,170500,171500,172700,173900,174900,175600,176500,177600,178900,180200,181500,182900,184300,185500,186400,186800,187300,188400,189700,191200,192600,194100,195700,197000,198500,200400,202000,204100,207000,209600,211200,212200,212700,213200,213900,214900,215900,216900,217900,219000,220100,221500,223100,224100,224400,224500,224700,225100,225400,226000,227300,228800,230100,231500,232700,234000,235600,237100,238500,240000,241200,242400,243200,243600,243900,244200,244500,244900,245500,246100,246300,246500,246700,247000,247000,246300,245500,244700,243900,243200,242600,241900,240900,239500,238100,236300,234500,232600,230600,228300,226200,224400,222800,221200,219900,218600,217500,216100,214200,211800,209700,208100,207000,206400,205700,205100,204000,202700,201100,199400,197900,197000,195900,194100,192100,190500,188600,186500,185000,184100,183100,181600,179700,177500,175500,173900,172300,170600,169100,168200,167200,165900,164700,164100,164200,164800,165600,166500,166700,166200,165900,166000,166100,166200,166600,167400,168600,170100,171900,173300,174500,175800,177000,178000,178800,179600,180300,180900,181600,182000,182300,182900,184000,185100,185700,186100,186300,186400,186800,188000,189400,190500,190900,191300,191900,192300,192800,193500,194000,194300,194800,195700,197000,197800,198600,199200,200000,200900,202100,203200,204600,206300,207900,208700,209100,209900,210700,211500,212300,212900,213300,213500,213900,214700
394514,"Dallas-Fort Worth, TX",4,102200,102100,102100,102300,102400,102600,102200,99400,96000,95100,95900,96000,96000,96100,96300,96700,97000,97500,97800,98400,99300,100000,100500,100900,101100,101100,101200,101300,101500,101800,102100,102600,103500,104400,104900,105400,106100,107000,107700,108300,108900,109600,110400,111700,112900,113400,113500,113800,114200,114500,114800,115100,115200,115500,116000,116900,117700,118000,118400,119100,119800,120200,120400,120700,121100,121300,121700,122300,122800,123300,123700,124000,124100,124300,124800,125300,125800,126200,126500,126800,127200,127700,128100,128100,128200,128300,128500,128600,128900,129100,129300,129300,129600,130200,131300,132500,133800,134900,135800,136400,137100,137700,138200,138700,139000,139200,139700,140100,140300,140500,140900,141400,141600,141800,142100,142400,142500,142600,142900,143300,143700,144100,144500,144800,145200,145600,145800,146100,146400,146500,146500,146600,146800,147000,147400,147800,148200,148600,149100,149600,149400,148000,146300,145200,144100,143000,141900,141200,140500,139900,139500,139000,138200,137300,136600,136200,135500,134600,133900,133600,133700,133700,133700,133200,134700,137500,139000,138700,139000,139600,139900,139800,139300,138900,138400,138000,137400,137100,137100,137100,136900,136600,136300,135800,135300,134700,134500,134700,135000,135300,135800,136300,136800,137300,137500,137800,138200,138400,138400,138800,139300,139500,140000,140900,141800,142900,143900,144700,145700,146900,147800,148700,149300,149600,150100,151100,151800,152500,153500,154400,155200,156200,157200,158100,158900,159500,160400,162100,164400,166500,168500,170800,173100,175200,177200,179000,180500,181700,183400,185300,187000,188600,191200,194100,196200,197500,199100,200300,201200,202300,204000,206000,208100,210200,211800,212800,213700,215200,217000,218600,220000,220900
394974,"Philadelphia, PA",5,106300,106200,106300,106400,106200,105900,105900,106100,106200,106500,106800,107100,107100,107100,107000,106900,106900,107100,107200,107400,107800,108200,108700,109000,109400,109600,109600,109500,109500,109700,109800,109900,110200,110700,111400,111900,112200,112500,112900,113400,113800,114300,114800,115200,115600,116100,116600,117300,117900,118500,118900,119500,120400,121200,121800,122400,122900,123500,124300,125000,125800,126700,127700,128600,129400,130000,130800,131700,132700,133800,134900,136100,137300,138400,139400,140700,142200,143900,145400,147000,148700,150300,151900,153300,154800,156400,158100,159900,161500,163000,164800,166700,168500,170100,171800,173500,175400,177500,179700,181900,184200,186700,189100,191400,193800,196100,198300,200600,203000,205500,208200,211000,213500,216000,218400,220600,222300,223500,224700,226000,227400,228600,229500,229900,230400,230600,230500,230200,229900,229900,229900,230300,230500,230300,230200,230400,230300,229800,229200,228800,228300,227400,226700,225900,225000,224200,223500,222600,221800,221000,220200,219300,218400,217500,216800,216200,215100,213700,212600,211900,211600,211300,211300,211100,211600,212200,211900,211300,211500,211500,211100,209600,207800,206200,205000,204200,203500,203100,202600,201700,200400,199200,198100,197300,196500,195800,195000,194100,193300,192900,192700,192300,191900,191400,190900,191000,191300,191600,191900,192300,192600,192900,193000,193400,194000,194800,195300,195500,195600,195600,195700,195900,196100,196200,196600,196900,197100,197600,198300,198900,199300,199600,199700,199500,199300,199000,199000,199300,200000,200700,201700,202600,203300,203900,204300,204300,204300,204300,204900,205900,206800,207300,208100,209200,210600,211700,212700,213600,214200,214300,214600,215400,216500,217300,217500,217600,218100,219100,220100,221400,223100,224700
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132700,132600,132300,131700,131300,130700,130100,129300,128800,128300,128700,129300,130000,130000,129800,129200,128400,127500,127000,126500,126000,125600,126200,127100,127900,127900,127800,127700,127600,127700,127700,127600,127700,127900,128800,129800,131100,132000,133000,134000,134800,135700,136600,137400,138200,139100,140700,142400,143900,144700,145300,146000,146600,147500,148300,149300,150300,151300,152800,154600,156300,157400,158100,159000,159900,160900,162100,163100,164200,165000,166200,167700,169300,170400,171500,172100,173200,174100,174900,175400,175700,175800,175300,175200,174600,174400,176200,178800,181200,182400,182900,183900,184700,185700,186800
395209,"Washington, DC",7,154200,154200,154400,154500,154200,154100,154200,154600,154700,155000,155500,155800,155900,155000,153300,152200,152300,152400,152400,152900,153500,154100,154800,155200,155400,155600,155800,155900,156000,156100,156400,156700,157100,157900,158800,159500,159900,160500,161500,162500,163500,164700,165500,166100,167400,168900,170300,171400,172600,174200,175700,177000,178100,179300,180800,182400,184000,185800,187800,189700,191900,194100,196400,198900,201400,203600,205800,208100,210300,212800,215500,218300,221200,224300,227600,230900,234100,237700,241100,244500,248100,251600,254700,257600,260300,263200,266000,268900,272100,275600,279300,283000,286700,290800,295500,300600,306100,311900,318400,325300,332300,339000,345600,352200,358600,364600,370500,377200,384400,391100,397700,404000,409500,414100,418200,421800,424000,425200,426200,427200,427600,427500,426500,424800,423100,421200,419500,418100,416200,414400,413500,413000,412300,411300,409500,406700,403300,399900,396500,392900,387900,382100,376300,370800,365200,360000,355000,350700,347200,344100,341200,338700,335700,332300,329500,327100,324000,320400,317100,315000,313800,313200,312700,311600,314300,319700,322400,321200,320900,320800,320600,319700,318400,316900,315400,314400,313400,312200,311400,310900,310300,310300,310600,310500,310400,310500,310400,310500,310300,309800,309800,310600,311600,312400,313700,315500,317200,318700,320300,322100,323200,323700,325100,327600,330400,333500,336900,340000,342800,344900,346300,347200,347900,348800,349800,350800,352100,353700,355100,356000,356200,356000,356400,357200,357600,357700,358500,359900,361300,362600,363800,364600,365100,365500,365900,366700,367200,367000,367100,368200,369400,370400,371100,371500,372200,373700,375600,377900,379600,380900,382000,382800,382700,382300,382000,382300,383500,384800,385600,385700,386300,387200
394856,"Miami-Fort Lauderdale, FL",8,93500,93200,92800,92500,92500,92600,92700,92800,93300,93800,94200,94700,95000,95300,95600,96000,96300,96700,97100,97200,97200,97500,98100,98500,98800,99300,99600,99600,99700,99800,100000,100600,101100,101600,102000,102600,103000,103400,103700,104300,104900,105500,105900,106500,107200,108000,108700,109300,109900,110800,111800,112700,113600,114400,115100,115900,116800,117900,118900,120100,121500,123000,124500,125800,127000,128500,130000,131400,132700,134300,136100,137600,138800,140000,141700,143500,145400,147200,149200,151100,153100,154900,156700,158400,160400,162100,163900,165800,167700,169600,171600,173900,176300,179000,181700,184800,188400,192300,196300,200500,205000,209700,214500,219500,224300,229500,235300,241600,248100,254700,261500,268300,274600,280200,285200,289800,293400,295900,298200,301000,303400,305000,305500,305800,305500,304600,303600,302700,301200,299800,298600,297000,294500,291700,288900,285800,282300,278800,275000,271200,266700,261200,255100,248600,242100,236400,231200,226000,220700,215600,210700,205700,200100,194400,189200,184300,179100,174000,169400,165900,163400,161800,160500,159000,159200,160400,159900,157500,155700,154500,153200,151700,149900,148000,146300,144800,143200,141700,141300,142000,142300,142300,141600,140700,140300,140000,139100,138400,138500,139100,140100,141300,142400,143400,144700,146000,147000,147700,148700,150300,151900,153100,154500,156600,158900,161000,162800,164300,165900,167700,169600,171600,173500,175300,177000,178600,180400,182500,184500,186700,189100,191700,194400,196800,198600,200600,202700,205300,207800,210500,213400,216300,218600,220600,222400,224100,225400,226400,227300,228900,230500,232100,234800,238000,239800,241000,242700,244200,245600,247000,248100,249000,250100,251700,253300,254700,256400,258700,261300,262900,263600,264200
394347,"Atlanta, GA",9,106700,107000,107000,107000,106900,106900,107100,107500,107900,108300,108700,109100,109400,109900,110600,111300,112000,112500,113000,113500,114100,114700,115300,115900,116600,117200,117600,118000,118600,119400,120200,120800,121400,122200,123200,123900,124400,125300,126300,127100,128100,129000,129900,130700,131500,132600,133600,134400,135100,135900,136800,137700,138400,139100,139900,140700,141300,141800,142500,143300,143900,144400,145000,145500,146100,146700,147200,147800,148300,148600,149000,149500,149900,150300,150700,151200,151700,152000,152300,152700,153000,153500,153800,154100,154400,154900,155300,155600,155800,156000,156400,156800,157300,157700,158200,158700,159100,159200,159500,159800,160300,160900,161400,161700,162300,163000,163700,164300,165000,165500,166000,166600,167100,167400,168000,168800,169300,169800,170300,170900,171300,171900,172500,173000,173400,173800,174000,174200,174100,173400,172800,172800,173100,173400,173200,172900,172900,172900,172500,172000,171300,170600,169800,168800,167500,166100,164600,163300,161900,160600,159400,158300,157000,155600,154400,153100,151400,149500,148000,147000,146500,145700,144900,144100,144300,145200,145100,144200,143600,143200,142200,140700,138900,137100,135500,133900,132100,129900,128100,126700,125400,124400,123500,122200,120900,120000,119000,118000,117400,117300,117000,116700,116600,116800,117200,117900,118400,118700,119400,120300,121100,122000,123100,124000,125200,126600,128000,129600,131500,133200,134800,136000,136800,137500,138300,139300,140600,141800,142600,143400,144200,144900,145600,146300,146900,147500,148900,150700,152100,153200,154400,155700,156900,158000,159000,160100,161100,161800,162800,164100,165200,166000,166700,167400,168300,169500,170800,171900,173000,174200,175200,176100,177200,178400,179400,180400,181700,183100,184300,185600,186800,187600
